Step,AgentID,Wealth,Position,Order
1,follower_4,649.53,null,0
1,saver_2,1047.29,buy,0
1,saver_1,948.98,buy,0
1,follower_3,595.42,null,0
1,saver_7,1020.4,buy,0
1,rnd_trader_0,,sell,1
1,saver_9,1040.26,buy,0
1,rnd_trader_4,,buy,1
1,rnd_trader_1,,buy,1
1,saver_3,1048.13,buy,0
1,saver_12,901.3,buy,0
1,saver_8,939.77,buy,0
1,saver_14,968.05,sell,0
1,saver_11,955.64,buy,0
1,saver_5,906.36,buy,0
1,saver_15,943.06,sell,0
1,saver_17,975.99,sell,0
1,follower_2,614.35,null,0
1,saver_10,944.09,buy,0
1,saver_4,917.39,buy,0
1,rnd_trader_3,,sell,1
1,rnd_trader_5,,buy,1
1,follower_1,646.86,null,0
1,follower_5,653.4,null,0
1,rnd_trader_2,,buy,1
1,saver_13,931.93,sell,0
1,follower_0,651.7,null,0
1,saver_16,967.32,sell,0
1,saver_0,905.0,buy,0
1,saver_6,943.73,buy,0
2,follower_4,649.3299999999999,buy,1
2,saver_2,1047.29,buy,0
2,saver_1,948.98,buy,0
2,follower_3,595.2199999999999,buy,1
2,saver_7,1020.4,buy,0
2,rnd_trader_0,,buy,1
2,saver_9,1040.26,buy,0
2,rnd_trader_4,,buy,1
2,rnd_trader_1,,sell,1
2,saver_3,1048.13,buy,0
2,saver_12,901.3,buy,0
2,saver_8,939.77,buy,0
2,saver_14,968.05,sell,0
2,saver_11,955.64,buy,0
2,saver_5,906.36,buy,0
2,saver_15,943.06,sell,0
2,saver_17,975.99,sell,0
2,follower_2,614.15,sell,1
2,saver_10,944.09,buy,0
2,saver_4,917.39,buy,0
2,rnd_trader_3,,sell,1
2,rnd_trader_5,,buy,1
2,follower_1,646.66,buy,1
2,follower_5,653.1999999999999,buy,1
2,rnd_trader_2,,sell,1
2,saver_13,931.93,sell,0
2,follower_0,651.5,buy,1
2,saver_16,967.32,sell,0
2,saver_0,905.0,buy,0
2,saver_6,943.73,buy,0
3,follower_4,659.3299999999999,buy,1
3,saver_2,1047.29,buy,0
3,saver_1,948.98,buy,0
3,follower_3,605.2199999999999,buy,1
3,saver_7,1020.4,buy,0
3,rnd_trader_0,,buy,1
3,saver_9,1040.26,buy,0
3,rnd_trader_4,,buy,1
3,rnd_trader_1,,sell,1
3,saver_3,1048.13,buy,0
3,saver_12,901.3,buy,0
3,saver_8,939.77,buy,0
3,saver_14,968.05,sell,0
3,saver_11,955.64,buy,0
3,saver_5,906.36,buy,0
3,saver_15,943.06,sell,0
3,saver_17,975.99,sell,0
3,follower_2,633.942,buy,1
3,saver_10,944.09,buy,0
3,saver_4,917.39,buy,0
3,rnd_trader_3,,sell,1
3,rnd_trader_5,,sell,1
3,follower_1,656.66,buy,1
3,follower_5,663.1999999999999,buy,1
3,rnd_trader_2,,sell,1
3,saver_13,931.93,sell,0
3,follower_0,661.5,buy,1
3,saver_16,967.32,sell,0
3,saver_0,905.0,buy,0
3,saver_6,943.73,buy,0
4,follower_4,669.3299999999999,buy,1
4,saver_2,1047.29,buy,0
4,saver_1,948.98,buy,0
4,follower_3,615.2199999999999,buy,1
4,saver_7,1020.4,buy,0
4,rnd_trader_0,,sell,1
4,saver_9,1040.26,buy,0
4,rnd_trader_4,,sell,1
4,rnd_trader_1,,buy,1
4,saver_3,1048.13,buy,0
4,saver_12,901.3,buy,0
4,saver_8,939.77,buy,0
4,saver_14,968.05,sell,0
4,saver_11,955.64,buy,0
4,saver_5,951.1984,buy,5
4,saver_15,943.06,sell,0
4,saver_17,975.99,sell,0
4,follower_2,632.90968,buy,1
4,saver_10,944.09,buy,0
4,saver_4,917.39,buy,0
4,rnd_trader_3,,sell,1
4,rnd_trader_5,,buy,1
4,follower_1,666.66,buy,1
4,follower_5,673.1999999999999,buy,1
4,rnd_trader_2,,sell,1
4,saver_13,931.93,sell,0
4,follower_0,671.5,buy,1
4,saver_16,1012.1584000000001,sell,5
4,saver_0,905.0,buy,0
4,saver_6,943.73,buy,0
5,follower_4,690.8036127999999,sell,1
5,saver_2,1047.29,buy,0
5,saver_1,948.98,buy,0
5,follower_3,636.6936127999999,sell,1
5,saver_7,1020.4,buy,0
5,rnd_trader_0,,sell,1
5,saver_9,1040.26,buy,0
5,rnd_trader_4,,buy,1
5,rnd_trader_1,,buy,1
5,saver_3,1048.13,buy,0
5,saver_12,901.3,buy,0
5,saver_8,939.77,buy,0
5,saver_14,968.05,sell,0
5,saver_11,955.64,buy,0
5,saver_5,951.1984,buy,0
5,saver_15,943.06,sell,0
5,saver_17,975.99,sell,0
5,follower_2,642.90968,buy,1
5,saver_10,944.09,buy,0
5,saver_4,917.39,buy,0
5,rnd_trader_3,,sell,1
5,rnd_trader_5,,buy,1
5,follower_1,688.1336127999999,sell,1
5,follower_5,694.6736127999999,sell,1
5,rnd_trader_2,,sell,1
5,saver_13,931.93,sell,0
5,follower_0,692.9736128,sell,1
5,saver_16,1012.1584000000001,sell,0
5,saver_0,905.0,buy,0
5,saver_6,943.73,buy,0
6,follower_4,700.8036127999999,sell,1
6,saver_2,1047.29,buy,0
6,saver_1,993.90665856,buy,5
6,follower_3,646.6936127999999,sell,1
6,saver_7,1020.4,buy,0
6,rnd_trader_0,,buy,1
6,saver_9,1040.26,buy,0
6,rnd_trader_4,,sell,1
6,rnd_trader_1,,sell,1
6,saver_3,1048.13,buy,0
6,saver_12,901.3,buy,0
6,saver_8,939.77,buy,0
6,saver_14,1012.9766585599999,sell,5
6,saver_11,955.64,buy,0
6,saver_5,951.1984,buy,0
6,saver_15,943.06,sell,0
6,saver_17,975.99,sell,0
6,follower_2,663.924348288,sell,1
6,saver_10,944.09,buy,0
6,saver_4,917.39,buy,0
6,rnd_trader_3,,sell,1
6,rnd_trader_5,,sell,1
6,follower_1,698.1336127999999,sell,1
6,follower_5,704.6736127999999,sell,1
6,rnd_trader_2,,buy,1
6,saver_13,931.93,sell,0
6,follower_0,702.9736128,sell,1
6,saver_16,1012.1584000000001,sell,0
6,saver_0,905.0,buy,0
6,saver_6,943.73,buy,0
7,follower_4,710.8036127999999,sell,1
7,saver_2,1047.29,buy,0
7,saver_1,993.90665856,buy,0
7,follower_3,656.6936127999999,sell,1
7,saver_7,1020.4,buy,0
7,rnd_trader_0,,buy,1
7,saver_9,1040.26,buy,0
7,rnd_trader_4,,sell,1
7,rnd_trader_1,,sell,1
7,saver_3,1048.13,buy,0
7,saver_12,901.3,buy,0
7,saver_8,939.77,buy,0
7,saver_14,1012.9766585599999,sell,0
7,saver_11,955.64,buy,0
7,saver_5,951.1984,buy,0
7,saver_15,943.06,sell,0
7,saver_17,975.99,sell,0
7,follower_2,663.79085346304,buy,1
7,saver_10,944.09,buy,0
7,saver_4,917.39,buy,0
7,rnd_trader_3,,sell,1
7,rnd_trader_5,,buy,1
7,follower_1,708.1336127999999,sell,1
7,follower_5,714.6736127999999,sell,1
