Step,AgentID,Wealth,Position,Order
1,saver_3,1048.13,buy,0
1,saver_12,901.3,buy,0
1,saver_8,939.77,buy,0
1,saver_14,968.05,sell,0
1,follower_2,614.35,null,0
1,saver_11,955.64,buy,0
1,saver_5,906.36,buy,0
1,rnd_trader_0,407.37,sell,1
1,follower_4,649.53,null,0
1,saver_6,943.73,buy,0
1,rnd_trader_3,374.15,sell,1
1,saver_2,1047.29,buy,0
1,follower_5,653.4,null,0
1,saver_7,1020.4,buy,0
1,saver_17,975.99,sell,0
1,saver_16,967.32,sell,0
1,rnd_trader_1,354.67,sell,1
1,saver_4,917.39,buy,0
1,saver_10,944.09,buy,0
1,follower_1,646.86,null,0
1,rnd_trader_5,369.62,buy,1
1,saver_15,943.06,sell,0
1,saver_0,905.0,buy,0
1,saver_1,948.98,buy,0
1,rnd_trader_2,369.23,buy,1
1,follower_0,651.7,null,0
1,saver_9,1040.26,buy,0
1,saver_13,931.93,sell,0
1,follower_3,595.42,null,0
1,rnd_trader_4,357.38,sell,1
2,saver_3,1048.13,buy,0
2,saver_12,901.3,buy,0
2,saver_8,939.77,buy,0
2,saver_14,968.05,sell,0
2,follower_2,614.5500000000001,buy,1
2,saver_11,955.64,buy,0
2,saver_5,906.36,buy,0
2,rnd_trader_0,398.57,buy,1
2,follower_4,649.73,buy,1
2,saver_6,943.73,buy,0
2,rnd_trader_3,365.34999999999997,buy,1
2,saver_2,1047.29,buy,0
2,follower_5,653.6,sell,1
2,saver_7,1020.4,buy,0
2,saver_17,975.99,sell,0
2,saver_16,967.32,sell,0
2,rnd_trader_1,345.87,sell,1
2,saver_4,917.39,buy,0
2,saver_10,944.09,buy,0
2,follower_1,647.0600000000001,sell,1
2,rnd_trader_5,360.82,buy,1
2,saver_15,943.06,sell,0
2,saver_0,905.0,buy,0
2,saver_1,948.98,buy,0
2,rnd_trader_2,360.43,sell,1
2,follower_0,651.9000000000001,buy,1
2,saver_9,1040.26,buy,0
2,saver_13,931.93,sell,0
2,follower_3,595.62,buy,1
2,rnd_trader_4,348.58,sell,1
3,saver_3,1048.13,buy,0
3,saver_12,901.3,buy,0
3,saver_8,939.77,buy,0
3,saver_14,968.05,sell,0
3,follower_2,624.5500000000001,buy,1
3,saver_11,955.64,buy,0
3,saver_5,906.36,buy,0
3,rnd_trader_0,389.574,buy,1
3,follower_4,659.73,buy,1
3,saver_6,943.73,buy,0
3,rnd_trader_3,356.354,buy,1
3,saver_2,1047.29,buy,0
3,follower_5,673.2040000000001,buy,1
3,saver_7,1020.4,buy,0
3,saver_17,975.99,sell,0
3,saver_16,967.32,sell,0
3,rnd_trader_1,336.874,sell,1
3,saver_4,917.39,buy,0
3,saver_10,944.09,buy,0
3,follower_1,666.6640000000001,buy,1
3,rnd_trader_5,351.824,sell,1
3,saver_15,943.06,sell,0
3,saver_0,905.0,buy,0
3,saver_1,948.98,buy,0
3,rnd_trader_2,351.434,buy,1
3,follower_0,661.9000000000001,buy,1
3,saver_9,1040.26,buy,0
3,saver_13,931.93,sell,0
3,follower_3,605.62,buy,1
3,rnd_trader_4,339.584,buy,1
4,saver_3,1048.13,buy,0
4,saver_12,901.3,buy,0
4,saver_8,939.77,buy,0
4,saver_14,968.05,sell,0
4,follower_2,634.5500000000001,buy,1
4,saver_11,955.64,buy,0
4,saver_5,952.3816,buy,5
4,rnd_trader_0,379.77832,sell,1
4,follower_4,669.73,buy,1
4,saver_6,943.73,buy,0
4,rnd_trader_3,346.55832,sell,1
4,saver_2,1047.29,buy,0
4,follower_5,672.4083200000001,buy,1
4,saver_7,1020.4,buy,0
4,saver_17,975.99,sell,0
4,saver_16,1013.3416000000002,sell,5
4,rnd_trader_1,327.07832,buy,1
4,saver_4,917.39,buy,0
4,saver_10,944.09,buy,0
4,follower_1,665.8683200000002,buy,1
4,rnd_trader_5,342.02832,sell,1
4,saver_15,943.06,sell,0
4,saver_0,905.0,buy,0
4,saver_1,948.98,buy,0
4,rnd_trader_2,341.63832,sell,1
4,follower_0,671.9000000000001,buy,1
4,saver_9,1040.26,buy,0
4,saver_13,931.93,sell,0
4,follower_3,615.62,buy,1
4,rnd_trader_4,329.78832,sell,1
5,saver_3,1048.13,buy,0
5,saver_12,901.3,buy,0
5,saver_8,939.77,buy,0
5,saver_14,968.05,sell,0
5,follower_2,644.5500000000001,buy,1
5,saver_11,955.64,buy,0
5,saver_5,952.3816,buy,0
5,rnd_trader_0,369.7667264,buy,1
5,follower_4,690.7415936,sell,1
5,saver_6,943.73,buy,0
5,rnd_trader_3,336.54672639999995,sell,1
5,saver_2,1047.29,buy,0
5,follower_5,682.4083200000001,buy,1
5,saver_7,1020.4,buy,0
5,saver_17,975.99,sell,0
5,saver_16,1013.3416000000002,sell,0
5,rnd_trader_1,317.0667264,sell,1
5,saver_4,917.39,buy,0
5,saver_10,944.09,buy,0
5,follower_1,675.8683200000002,buy,1
5,rnd_trader_5,332.0167264,sell,1
5,saver_15,943.06,sell,0
5,saver_0,905.0,buy,0
5,saver_1,948.98,buy,0
5,rnd_trader_2,331.6267264,buy,1
5,follower_0,692.9115936000001,sell,1
5,saver_9,1040.26,buy,0
5,saver_13,931.93,sell,0
5,follower_3,636.6315936,sell,1
5,rnd_trader_4,319.7767264,sell,1
6,saver_3,1048.13,buy,0
6,saver_12,901.3,buy,0
6,saver_8,939.77,buy,0
6,saver_14,1014.09319136,sell,5
6,follower_2,665.341361728,sell,1
6,saver_11,955.64,buy,0
6,saver_5,952.3816,buy,0
6,rnd_trader_0,359.97536467199996,buy,1
6,follower_4,700.7415936,sell,1
6,saver_6,943.73,buy,0
6,rnd_trader_3,326.7553646719999,buy,1
6,saver_2,1047.29,buy,0
6,follower_5,703.1996817280001,sell,1
6,saver_7,1020.4,buy,0
6,saver_17,975.99,sell,0
6,saver_16,1013.3416000000002,sell,0
6,rnd_trader_1,307.27536467199997,buy,1
6,saver_4,917.39,buy,0
6,saver_10,944.09,buy,0
6,follower_1,696.6596817280001,sell,1
6,rnd_trader_5,322.22536467199996,sell,1
6,saver_15,943.06,sell,0
6,saver_0,905.0,buy,0
6,saver_1,995.02319136,buy,5
6,rnd_trader_2,321.83536467199997,sell,1
6,follower_0,702.9115936000001,sell,1
6,saver_9,1040.26,buy,0
6,saver_13,931.93,sell,0
6,follower_3,646.6315936,sell,1
6,rnd_trader_4,309.98536467199995,buy,1
7,saver_3,1048.13,buy,0
7,saver_12,901.3,buy,0
7,saver_8,939.77,buy,0
7,saver_14,1014.09319136,sell,0
7,follower_2,664.98165446912,sell,1
7,saver_11,955.64,buy,0
7,saver_5,952.3816,buy,0
7,rnd_trader_0,350.61565741311995,sell,1
7,follower_4,710.7415936,sell,1
7,saver_6,943.73,buy,0
7,rnd_trader_3,317.3956574131199,sell,1
7,saver_2,1047.29,buy,0
7,follower_5,702.8399744691201,buy,1
7,saver_7,1020.4,buy,0
7,saver_17,975.99,sell,0
7,saver_16,1013.3416000000002,sell,0
7,rnd_trader_1,297.91565741311996,sell,1
7,saver_4,917.39,buy,0
7,saver_10,944.09,buy,0
7,follower_1,696.2999744691201,buy,1
7,rnd_trader_5,312.86565741311995,sell,1
7,saver_15,943.06,sell,0
7,saver_0,905.0,buy,0
7,saver_1,995.02319136,buy,0
7,rnd_trader_2,312.47565741311996,sell,1
7,follower_0,712.9115936000001,sell,1
7,saver_9,1040.26,buy,0
7,saver_13,931.93,sell,0
7,follower_3,656.6315936,sell,1
7,rnd_trader_4,300.62565741311994,buy,1
8,saver_3,1048.13,buy,0
8,saver_12,901.3,buy,0
8,saver_8,939.77,buy,0
8,saver_14,1014.09319136,sell,0
8,follower_2,674.98165446912,sell,1
8,saver_11,955.64,buy,0
8,saver_5,952.3816,buy,0
8,rnd_trader_0,341.8775325897727,buy,1
8,follower_4,720.7415936,sell,1
8,saver_6,943.73,buy,0
8,rnd_trader_3,308.6575325897727,buy,1
8,saver_2,1047.29,buy,0
8,follower_5,722.5780992924673,sell,1
8,saver_7,1020.4,buy,0
8,saver_17,975.99,sell,0
8,saver_16,1013.3416000000002,sell,0
8,rnd_trader_1,289.17753258977274,sell,1
